iter	Passed	Remaining
151	15597	87019
152	15736	87114
153	15837	87001
154	15937	86883
155	16036	86763
156	16085	86367
157	16170	86173
158	16276	86089
159	16376	85977
160	16478	85871
161	16582	85776
162	16679	85648
163	16777	85526
164	16903	85544
165	16997	85395
166	17098	85287
167	17199	85179
168	17237	84758
169	17331	84620
170	17433	84515
171	17528	84379
172	17628	84272
173	17728	84158
174	17827	84042
175	17925	83924
176	18028	83828
177	18128	83716
178	18172	83351
179	18260	83188
180	18369	83117
181	18474	83033
182	18570	82906
183	18667	82787
184	18777	82720
185	18871	82588
186	18972	82486
187	19082	82419
188	19178	82295
189	19359	82534
190	19476	82494
191	19591	82449
192	19687	82318
193	19777	82168
194	19874	82044
195	19976	81943
196	20072	81819
197	20173	81712
198	20274	81607
199	20378	81515
200	20479	81410
201	20570	81262
202	20659	81112
203	20762	81013
204	20864	80912
205	20961	80793
206	21072	80727
207	21165	80589
208	21266	80486
209	21366	80380
210	21465	80268
211	21578	80206
212	21711	80221
213	21849	80251
214	21952	80153
215	22053	80045
216	22156	79945
217	22267	79878
218	22371	79781
219	22469	79666
220	22568	79550
221	22670	79448
222	22771	79344
223	22872	79237
224	22970	79119
225	23065	78992
226	23162	78875
227	23261	78762
228	23364	78665
229	23468	78569
230	23571	78471
231	23670	78356
232	23769	78244
233	23864	78120
234	23964	78010
235	24065	77906
236	24166	77802
237	24268	77700
238	24365	77581
239	24473	77500
240	24571	77384
241	24681	77309
242	24779	77193
243	24881	77091
244	24983	76991
245	25093	76912
246	25196	76812
247	25304	76728
248	25410	76639
249	25507	76522
250	25608	76417
251	25708	76309
252	25809	76204
253	25904	76082
254	26004	75975
255	26105	75869
256	26212	75780
257	26311	75672
258	26416	75578
259	26521	75484
260	26630	75402
261	26773	75415
262	26872	75303
263	26971	75194
264	27073	75091
265	27170	74975
266	27273	74875
267	27370	74759
268	27469	74648
269	27567	74535
270	27666	74423
271	27771	74330
272	27877	74238
273	27979	74135
274	28075	74016
275	28173	73903
276	28284	73824
277	28386	73723
278	28482	73604
279	28593	73526
280	28707	73455
281	28837	73424
282	28954	73357
283	29059	73262
284	29192	73236
285	29305	73162
286	29417	73081
287	29521	72984
288	29627	72889
289	29731	72790
290	29847	72720
291	29962	72647
292	30059	72532
293	30162	72430
294	30267	72333
295	30370	72232
296	30475	72136
297	30567	72008
298	30669	71903
299	30778	71815
300	30875	71700
301	30975	71592
302	31069	71469
303	31169	71362
304	31274	71265
305	31372	71151
306	31481	71065
307	31584	70962
308	31680	70844
309	31781	70739
310	31880	70628
311	31984	70530
312	32087	70428
313	32192	70331
314	32293	70225
315	32414	70163
316	32521	70069
317	32628	69977
318	32742	69898
319	32858	69825
320	32973	69747
321	33092	69680
322	33198	69582
323	33295	69467
324	33423	69417
325	33536	69335
326	33649	69253
327	33769	69185
328	33889	69118
329	33997	69025
330	34106	68934
331	34210	68832
332	34330	68764
333	34440	68675
334	34548	68582
335	34657	68489
336	34765	68395
337	34858	68272
338	34959	68165
339	35062	68061
340	35160	67949
341	35259	67838
342	35366	67742
343	35475	67650
344	35577	67545
345	35684	67450
346	35791	67353
347	35909	67279
348	36028	67204
349	36137	67112
350	36259	67043
351	36373	66960
352	36469	66843
353	36591	66774
354	36747	66766
355	36876	66708
356	36979	66604
357	37087	66508
358	37198	66418
359	37317	66341
360	37423	66241
361	37529	66142
362	37626	66027
363	37727	65919
364	37859	65865
365	37966	65767
366	38084	65687
367	38193	65592
368	38306	65505
369	38414	65409
370	38518	65304
371	38611	65182
372	38711	65072
373	38817	64973
374	38919	64866
375	39032	64776
376	39130	64664
377	39232	64556
378	39345	64468
379	39446	64359
380	39558	64269
381	39697	64221
382	39801	64118
383	39899	64006
384	40000	63897
385	40102	63789
386	40211	63694
387	40318	63594
388	40421	63489
389	40524	63384
390	40634	63289
391	40746	63197
392	40856	63104
393	40969	63014
394	41074	62912
395	41175	62803
396	41282	62703
397	41395	62612
398	41497	62505
399	41601	62402
400	41705	62298
401	41821	62211
402	41966	62169
403	42070	62064
404	42181	61971
405	42324	61922
406	42614	62089
407	42770	62059
408	42898	61987
409	43004	61884
410	43119	61794
411	43228	61694
412	43358	61625
413	43473	61535
414	43581	61434
415	43688	61332
416	43811	61252
417	43907	61134
418	44005	61018
419	44108	60911
420	44210	60802
421	44308	60688
422	44434	60611
423	44549	60520
424	44662	60425
425	44767	60320
426	44878	60222
427	44995	60134
428	45099	60027
429	45199	59915
430	45312	59821
431	45425	59725
432	45529	59620
433	45651	59536
434	45766	59443
435	45882	59352
436	46002	59266
437	46111	59166
438	46216	59060
439	46318	58950
440	46427	58849
441	46526	58737
442	46628	58628
443	46732	58521
444	46835	58412
445	46937	58303
446	47031	58184
447	47133	58075
448	47234	57964
449	47338	57857
450	47434	57741
451	47530	57625
452	47632	57516
453	47734	57407
454	47829	57289
455	47926	57175
456	48027	57065
457	48124	56950
458	48222	56837
459	48325	56729
460	48432	56627
461	48533	56517
462	48632	56405
463	48733	56295
464	48830	56180
465	48933	56074
466	49039	55970
467	49138	55858
468	49234	55743
469	49334	55632
470	49442	55531
471	49551	55430
472	49676	55348
473	49769	55229
474	49895	55147
475	50011	55054
476	50133	54968
477	50233	54857
478	50332	54745
479	50439	54643
480	50543	54536
481	50645	54428
482	50746	54318
483	50849	54211
484	50949	54100
485	51052	53993
486	51153	53884
487	51253	53774
488	51359	53670
489	51467	53567
490	51563	53454
491	51662	53342
492	51755	53225
493	51856	53115
494	51959	53009
495	52048	52888
496	52148	52777
497	52286	52706
498	52396	52606
499	52497	52497
500	52606	52396
501	52708	52288
502	52810	52180
503	52909	52070
504	53009	51959
505	53111	51851
506	53212	51743
507	53318	51639
508	53430	51541
509	53535	51436
510	53640	51331
511	53748	51229
512	53862	51132
513	53956	51017
514	54056	50907
515	54151	50793
516	54241	50673
517	54339	50563
518	54443	50457
519	54538	50343
520	54638	50234
521	54759	50143
522	54873	50047
523	54976	49940
524	55077	49831
525	55186	49730
526	55302	49636
527	55412	49535
528	55513	49426
529	55609	49313
530	55709	49205
531	55812	49098
532	55913	48989
533	56009	48877
534	56108	48767
535	56213	48662
536	56318	48557
537	56418	48448
538	56508	48330
539	56609	48222
540	56708	48112
541	56808	48004
542	56909	47896
543	57005	47783
544	57106	47675
545	57205	47566
546	57305	47458
547	57412	47355
548	57508	47242
549	57607	47133
550	57709	47026
551	57809	46917
552	57910	46810
553	58002	46695
554	58093	46579
555	58197	46473
556	58294	46363
557	58394	46255
558	58492	46145
559	58592	46036
560	58692	45928
561	58785	45814
562	58888	45709
563	58985	45598
564	59084	45489
565	59182	45380
566	59276	45267
567	59372	45156
568	59470	45047
569	59570	44938
570	59674	44834
571	59770	44723
572	59871	44616
573	59970	44507
574	60064	44395
575	60166	44289
576	60265	44180
577	60363	44071
578	60461	43962
579	60554	43849
580	60650	43739
581	60750	43631
582	60851	43525
583	60953	43418
584	61051	43310
585	61155	43205
586	61251	43095
587	61354	42989
588	61457	42884
589	61573	42788
590	61715	42710
591	61829	42612
592	61938	42510
593	62039	42404
594	62139	42296
595	62237	42187
596	62338	42081
597	62445	41978
598	62546	41871
599	62651	41767
600	62763	41668
601	62862	41560
602	62967	41456
603	63069	41350
604	63175	41246
605	63274	41138
606	63386	41039
607	63478	40927
608	63573	40816
609	63673	40709
610	63777	40604
611	63888	40504
612	63989	40397
613	64089	40290
614	64191	40184
615	64304	40086
616	64410	39982
617	64507	39873
618	64610	39768
619	64709	39660
620	64809	39553
621	64905	39444
622	65002	39335
623	65106	39230
624	65205	39123
625	65308	39018
626	65413	38914
627	65512	38806
628	65614	38701
629	65707	38590
630	65809	38484
631	65912	38379
632	66011	38271
633	66107	38162
634	66210	38057
635	66306	37949
636	66410	37844
637	66501	37733
638	66598	37624
639	66718	37529
640	66852	37441
641	66951	37334
642	67050	37226
643	67147	37118
644	67245	37011
645	67349	36906
646	67449	36800
647	67548	36693
648	67652	36588
649	67753	36482
650	67856	36377
651	67957	36271
652	68056	36164
653	68154	36057
654	68252	35949
655	68353	35843
656	68453	35737
657	68556	35632
658	68654	35525
659	68755	35419
660	68862	35316
661	68960	35209
662	69056	35100
663	69153	34993
664	69256	34888
665	69360	34784
666	69462	34679
667	69566	34574
668	69664	34467
669	69767	34363
670	69864	34255
671	69964	34149
672	70054	34038
673	70153	33931
674	70252	33825
675	70356	33721
676	70451	33612
677	70554	33507
678	70657	33403
679	70762	33299
680	70863	33194
681	70961	33087
682	71063	32982
683	71160	32875
684	71252	32765
685	71355	32661
686	71457	32556
687	71551	32447
688	71643	32338
689	71741	32231
690	71847	32128
691	71948	32023
692	72046	31916
693	72151	31813
694	72252	31707
695	72357	31604
696	72455	31498
697	72558	31393
698	72653	31285
699	72753	31180
700	72855	31075
701	72947	30966
702	73041	30858
703	73143	30753
704	73246	30649
705	73343	30542
706	73448	30439
707	73558	30337
708	73692	30246
709	73811	30148
710	73912	30043
711	74011	29937
712	74114	29832
713	74214	29727
714	74309	29619
715	74414	29516
716	74504	29407
717	74605	29301
718	74709	29197
719	74800	29089
720	74901	28983
721	74997	28876
722	75096	28771
723	75199	28667
724	75301	28562
725	75405	28458
726	75505	28353
727	75607	28248
728	75711	28145
729	75818	28042
730	75921	27938
731	76023	27833
732	76116	27725
733	76212	27619
734	76333	27521
735	76425	27413
736	76521	27307
737	76623	27202
738	76721	27096
739	76825	26992
740	76923	26886
741	77022	26781
742	77121	26675
743	77213	26568
744	77316	26464
745	77421	26360
746	77520	26255
747	77623	26151
748	77714	26043
749	77807	25935
750	77913	25832
751	78016	25728
752	78116	25624
753	78225	25521
754	78320	25415
755	78424	25311
756	78528	25207
757	78621	25100
758	78766	25010
759	78879	24909
760	78990	24807
761	79097	24705
762	79204	24602
763	79322	24502
764	79425	24398
765	79518	24291
766	79620	24187
767	79717	24081
768	79822	23977
769	79922	23872
770	80020	23767
771	80116	23661
772	80214	23555
773	80313	23450
774	80416	23346
775	80514	23241
776	80620	23138
777	80721	23033
778	80824	22929
779	80980	22840
780	81087	22737
781	81185	22632
782	81275	22524
783	81377	22420
784	81479	22316
785	81578	22210
786	81677	22105
787	81788	22003
788	81884	21898
789	81976	21791
790	82069	21684
791	82174	21581
792	82274	21476
793	82374	21371
794	82472	21266
795	82570	21161
796	82667	21055
797	82769	20951
798	82876	20848
799	82977	20744
800	83074	20639
801	83173	20533
802	83271	20429
803	83374	20325
804	83478	20221
805	83571	20115
806	83664	20009
807	83758	19903
808	83862	19799
809	83973	19697
810	84073	19592
811	84163	19486
812	84261	19381
813	84364	19277
814	84463	19172
815	84551	19065
816	84649	18960
817	84747	18855
818	84850	18752
819	84946	18646
820	85051	18543
821	85145	18437
822	85246	18333
823	85348	18229
824	85451	18126
825	85580	18027
826	85690	17925
827	85824	17828
828	85935	17726
829	86037	17622
830	86139	17518
831	86235	17412
832	86336	17308
833	86426	17202
834	86528	17098
835	86627	16993
836	86727	16889
837	86833	16786
838	86930	16681
839	87029	16577
840	87120	16471
841	87220	16366
842	87316	16261
843	87418	16157
844	87519	16053
845	87617	15949
846	87713	15844
847	87810	15739
848	87908	15634
849	87999	15529
850	88100	15425
851	88201	15321
852	88305	15217
853	88412	15114
854	88512	15010
855	88608	14906
856	88709	14802
857	88806	14697
858	88907	14593
859	89002	14488
860	89100	14384
861	89206	14281
862	89313	14178
863	89418	14075
864	89519	13971
865	89614	13866
866	89717	13762
867	89823	13659
868	89919	13555
869	90018	13451
870	90116	13346
871	90210	13241
872	90307	13137
873	90412	13034
874	90508	12929
875	90613	12826
876	90711	12722
877	90827	12620
878	90943	12518
879	91093	12421
880	91182	12316
881	91284	12212
882	91387	12109
883	91486	12005
884	91571	11899
885	91663	11794
886	91756	11689
887	91856	11585
888	91957	11481
889	92056	11377
890	92149	11273
891	92245	11168
892	92356	11066
893	92461	10962
894	92578	10861
895	92692	10758
896	92814	10657
897	92933	10555
898	93043	10453
899	93151	10350
900	93258	10247
901	93366	10144
902	93467	10040
903	93576	9937
904	93691	9834
905	93797	9731
906	93914	9629
907	94017	9526
908	94138	9424
909	94251	9321
910	94360	9218
911	94472	9115
912	94578	9012
913	94669	8907
914	94769	8803
915	94870	8699
916	94970	8596
917	95066	8491
918	95169	8388
919	95270	8284
920	95377	8181
921	95477	8077
922	95586	7974
923	95691	7870
924	95800	7767
925	95904	7664
926	96023	7561
927	96137	7458
928	96242	7355
929	96340	7251
930	96431	7146
931	96531	7043
932	96631	6939
933	96729	6835
934	96837	6732
935	96936	6628
936	97043	6524
937	97142	6420
938	97290	6320
939	97411	6217
940	97511	6113
941	97640	6011
942	97772	5909
943	97919	5808
944	98018	5704
945	98118	5600
946	98219	5496
947	98314	5392
948	98418	5289
949	98516	5185
950	98615	5081
951	98715	4977
952	98821	4873
953	98923	4769
954	99027	4666
955	99140	4562
956	99232	4458
957	99328	4354
958	99431	4250
959	99531	4147
960	99627	4043
961	99729	3939
962	99833	3835
963	99933	3731
964	100037	3628
965	100152	3525
966	100256	3421
967	100365	3317
968	100471	3214
969	100570	3110
970	100661	3006
971	100760	2902
972	100853	2798
973	100949	2694
974	101043	2590
975	101137	2486
976	101236	2383
977	101339	2279
978	101440	2175
979	101540	2072
980	101651	1968
981	101754	1865
982	101852	1761
983	101957	1657
984	102060	1554
985	102158	1450
986	102262	1346
987	102363	1243
988	102464	1139
989	102564	1036
990	102659	932
991	102769	828
992	102907	725
993	103000	621
994	103097	518
995	103195	414
996	103300	310
997	103401	207
998	103502	103
999	103601	0
