iter	MultiClass
239	1.769040859
240	1.768622327
241	1.767924223
242	1.767148928
243	1.766242989
244	1.764545815
245	1.763539328
246	1.762744964
247	1.761721221
248	1.760327613
249	1.759444065
250	1.758395904
251	1.756715714
252	1.756405387
253	1.755243942
254	1.754114363
255	1.753242692
256	1.75249578
257	1.751050562
258	1.750557809
259	1.750151771
260	1.749765052
261	1.748349065
262	1.747743392
263	1.746855452
264	1.745633945
265	1.745339611
266	1.744284548
267	1.743632638
268	1.742398246
269	1.741488876
270	1.7403634
271	1.738985919
272	1.737899763
273	1.737045761
274	1.735798469
275	1.734620289
276	1.73376536
277	1.732694594
278	1.731804527
279	1.730455935
280	1.729606872
281	1.728145426
282	1.727723993
283	1.726839906
284	1.725741167
285	1.72431372
286	1.723811424
287	1.723109677
288	1.722679482
289	1.721793254
290	1.720765734
291	1.720080521
292	1.719435544
293	1.718960786
294	1.717408751
295	1.717054587
296	1.715994466
297	1.715050601
298	1.713884049
299	1.712626029
300	1.711582806
301	1.709962217
302	1.709036805
303	1.708059757
304	1.706957844
305	1.706536192
306	1.705194175
307	1.704287815
308	1.70326284
309	1.701548216
310	1.701090843
311	1.698990927
312	1.697420244
313	1.696713488
314	1.695626899
315	1.694186838
316	1.692912914
317	1.691931444
318	1.690788265
319	1.690150086
320	1.689299797
321	1.688217383
322	1.687670845
323	1.687107855
324	1.686005575
325	1.685178239
326	1.684310839
327	1.683161546
328	1.681730698
329	1.680250728
330	1.679862257
331	1.678828449
332	1.677795555
333	1.676392414
334	1.675533629
335	1.67500287
336	1.673264993
337	1.671787098
338	1.670725391
339	1.66957196
340	1.668808467
341	1.667640872
342	1.666584908
343	1.665887588
344	1.664721896
345	1.663614281
346	1.662562744
347	1.662114927
348	1.661180921
349	1.660878452
350	1.659834473
351	1.658267181
352	1.657042317
353	1.655946934
354	1.654240473
355	1.65297483
356	1.651328758
357	1.650107033
358	1.649195112
359	1.647643239
360	1.64702388
361	1.646215433
362	1.64557703
363	1.644327938
364	1.643152758
365	1.642117536
366	1.640484676
367	1.639328919
368	1.638777068
369	1.638210921
370	1.637463841
371	1.636728916
372	1.635777019
373	1.63456127
374	1.633630231
375	1.632998422
376	1.632316348
377	1.631266331
378	1.62973844
379	1.629322964
380	1.628261843
381	1.626579818
382	1.625251121
383	1.624704826
384	1.624501249
385	1.623022307
386	1.62251801
387	1.621774787
388	1.620627956
389	1.619851366
390	1.61927474
391	1.618656684
392	1.618011133
393	1.616033024
394	1.615224562
395	1.614261204
396	1.61345535
397	1.612176057
398	1.61108853
399	1.610012576
400	1.608484485
401	1.607640883
402	1.607054546
403	1.606399479
404	1.605385581
405	1.604290845
406	1.603380089
407	1.602029667
408	1.601189589
409	1.600508189
410	1.599682633
411	1.598471326
412	1.597508787
413	1.596724755
414	1.596225312
415	1.594807799
416	1.593609306
417	1.592721468
418	1.592022534
419	1.590634637
420	1.589673513
421	1.588473594
422	1.587517818
423	1.586254694
424	1.585806529
425	1.584486777
426	1.583566551
427	1.582593322
428	1.581548152
429	1.580607769
430	1.579693412
431	1.578468207
432	1.577889959
433	1.576673379
434	1.575415183
435	1.57431408
436	1.57279652
437	1.5717644
438	1.571044736
439	1.570721014
440	1.570009269
441	1.569091019
442	1.568663599
443	1.568129939
444	1.566959144
445	1.565853028
446	1.564692007
447	1.563542059
448	1.563006591
449	1.562371892
450	1.561719882
451	1.560663489
452	1.559559095
453	1.558501423
454	1.55789732
455	1.556495951
456	1.555737711
457	1.554497407
458	1.553880562
459	1.55282202
460	1.551501198
461	1.550785381
462	1.550134773
463	1.549151551
464	1.547924517
465	1.546970944
466	1.545137485
467	1.544421388
468	1.543418794
469	1.54225505
470	1.541133282
471	1.540887367
472	1.539858436
473	1.538811862
474	1.537727331
475	1.536468525
476	1.535838493
477	1.534880185
478	1.534216848
479	1.532757288
480	1.531500311
481	1.530308003
482	1.529118571
483	1.528219937
484	1.527243225
485	1.526472996
486	1.52581592
487	1.524338731
488	1.523427598
489	1.522571786
490	1.521997
491	1.520909456
492	1.520305289
493	1.519595307
494	1.518968953
495	1.518551736
496	1.517998034
497	1.517321838
498	1.516401248
499	1.515790466
500	1.515025479
501	1.514071483
502	1.512831681
503	1.511766412
504	1.510636807
505	1.510180462
506	1.509343736
507	1.507981387
508	1.506646525
509	1.505866697
510	1.504857378
511	1.503852495
512	1.503100295
513	1.502331583
514	1.501411096
515	1.500313784
516	1.498761307
517	1.49805045
518	1.497315365
519	1.496491236
520	1.496061708
521	1.495456295
522	1.494551287
523	1.493634831
524	1.493030604
525	1.491838523
526	1.490923637
527	1.489948717
528	1.48921348
529	1.488257838
530	1.486962027
531	1.486406199
532	1.485279125
533	1.484202738
534	1.483690098
535	1.482480798
536	1.481582962
537	1.480340582
538	1.479527446
539	1.478661809
540	1.478030944
541	1.476925497
542	1.475595918
543	1.4748543
544	1.473801427
545	1.473202049
546	1.472476094
547	1.471707236
548	1.470284901
549	1.46925715
550	1.46810857
551	1.466822631
552	1.465619128
553	1.464651776
554	1.463780804
555	1.463259014
556	1.462144297
557	1.461513976
558	1.461055806
559	1.460371576
560	1.459617013
561	1.458954066
562	1.457502255
563	1.456872343
564	1.455600522
565	1.454842174
566	1.454179178
567	1.453434545
568	1.452517805
569	1.451700963
570	1.450511455
571	1.449667429
572	1.448905966
573	1.448485756
574	1.447949733
575	1.447670094
576	1.446958994
577	1.446192963
578	1.445622212
579	1.444560577
580	1.444059564
581	1.442672176
582	1.441661185
583	1.441395006
584	1.441259743
585	1.440647744
586	1.44012001
587	1.439010339
588	1.438126758
589	1.437645205
590	1.436110576
591	1.434892144
592	1.433591407
593	1.432930189
594	1.432072172
595	1.431283595
596	1.43073221
597	1.42980975
598	1.428531323
599	1.427503678
600	1.426202581
601	1.425570025
602	1.424700692
603	1.424075131
604	1.423285131
605	1.422279886
606	1.421121345
607	1.419685564
608	1.418653224
609	1.417789587
610	1.41653606
611	1.415285639
612	1.414302564
613	1.413327195
614	1.412610223
615	1.41147621
616	1.410224713
617	1.40966699
618	1.408877884
619	1.407854555
620	1.407401756
621	1.406995476
622	1.406156323
623	1.405414285
624	1.405131313
625	1.40432112
626	1.403782156
627	1.402862012
628	1.401800725
629	1.401432292
630	1.400689839
631	1.399751873
632	1.399364568
633	1.398500359
634	1.39779501
635	1.395918254
636	1.394778916
637	1.39396056
638	1.393071754
639	1.392019052
640	1.391632684
641	1.39110726
642	1.390533733
643	1.389046029
644	1.388155284
645	1.387031606
646	1.386539773
647	1.386136522
648	1.385259857
649	1.384574199
650	1.383584166
651	1.382963537
652	1.381428051
653	1.380175393
654	1.379713121
655	1.378513549
656	1.377827473
657	1.376990565
658	1.375862741
659	1.374651522
660	1.373281782
661	1.372579734
662	1.371639066
663	1.370854684
664	1.369832454
665	1.36880966
666	1.368197361
667	1.367333026
668	1.366956971
669	1.365373177
670	1.364582062
671	1.363792998
672	1.363267319
673	1.36262857
674	1.361611364
675	1.360276399
676	1.359052692
677	1.358013727
678	1.35671692
679	1.35592585
680	1.35520241
681	1.354261048
682	1.353527166
683	1.35215048
684	1.350685605
685	1.349623227
686	1.348807182
687	1.348214354
688	1.34722635
689	1.346536875
690	1.345928704
691	1.345280619
692	1.344731444
693	1.343815372
694	1.343004355
695	1.341673713
696	1.34089892
697	1.339930448
698	1.33920086
699	1.338360349
700	1.337609804
701	1.33667072
702	1.336189664
703	1.33548967
704	1.334839396
705	1.334270152
706	1.333454761
707	1.33208454
708	1.330797223
709	1.330496919
710	1.329381757
711	1.328859917
712	1.327806437
713	1.326605257
714	1.326003993
715	1.324925694
716	1.323892092
717	1.323220072
718	1.322070477
719	1.321115611
720	1.320689724
721	1.320195411
722	1.319393498
723	1.318263572
724	1.317277152
725	1.316202643
726	1.315464641
727	1.31451236
728	1.313929148
729	1.312951339
730	1.312034897
731	1.310844732
732	1.310557439
733	1.309785919
734	1.308959996
735	1.308400252
736	1.307541354
737	1.307053718
738	1.306163879
739	1.305419611
740	1.304705794
741	1.303851506
742	1.303102495
743	1.302451732
744	1.301968133
745	1.301334749
746	1.30055452
747	1.299991085
748	1.299667749
749	1.299233306
750	1.298457856
751	1.297959779
752	1.297038111
753	1.296281587
754	1.295702851
755	1.294631993
756	1.294466707
757	1.293995603
758	1.293039476
759	1.292598379
760	1.291816814
761	1.290546361
762	1.289640828
763	1.288841534
764	1.287666221
765	1.287120053
766	1.286059163
767	1.28511718
768	1.284342475
769	1.2836638
770	1.282583895
771	1.281651184
772	1.280243095
773	1.27925828
774	1.278932995
775	1.277910598
776	1.277011872
777	1.276194931
778	1.275444029
779	1.274332409
780	1.273796774
781	1.273080277
782	1.272654056
783	1.271803543
784	1.270776807
785	1.269915529
786	1.269283019
787	1.268609003
788	1.267619764
789	1.267022593
790	1.266696934
791	1.265545691
792	1.264903377
793	1.264262858
794	1.26332794
795	1.262673107
796	1.261807216
797	1.260409026
798	1.25903089
799	1.258603288
800	1.257735595
801	1.25743921
802	1.257041826
803	1.256084156
804	1.255446717
805	1.255316563
806	1.254407034
807	1.25399514
808	1.253279848
809	1.252889579
810	1.252222735
811	1.251066887
812	1.250383862
813	1.25004467
814	1.248680494
815	1.248357968
816	1.247670809
817	1.247032874
818	1.246374585
819	1.245888744
820	1.245321784
821	1.244820076
822	1.24376588
823	1.243038806
824	1.241975244
825	1.240906857
826	1.239819205
827	1.239087953
828	1.238446085
829	1.238120604
830	1.237342799
831	1.235834528
832	1.234970435
833	1.234441524
834	1.233504572
835	1.232668998
836	1.231937876
837	1.231497154
838	1.230592698
839	1.229634993
840	1.229241439
841	1.228455917
842	1.2275437
843	1.227351615
844	1.226703983
845	1.225791373
846	1.224759624
847	1.224473306
848	1.223866985
849	1.223062237
850	1.222114256
851	1.221478943
852	1.221115932
853	1.220504089
854	1.219693947
855	1.219204257
856	1.218483328
857	1.217786422
858	1.217045411
859	1.216101183
860	1.215351133
861	1.214859422
862	1.213611773
863	1.212440566
864	1.211307669
865	1.21009364
866	1.209212177
867	1.208296389
868	1.207550683
869	1.206871573
870	1.2059549
871	1.205328698
872	1.204874574
873	1.20367781
874	1.203274424
875	1.202738267
876	1.202039491
877	1.201592254
878	1.200849
879	1.200091375
880	1.199047238
881	1.198156585
882	1.197213094
883	1.196848832
884	1.196084242
885	1.195269323
886	1.194599475
887	1.193370809
888	1.192326883
889	1.1914985
890	1.1903447
891	1.189476749
892	1.189227818
893	1.188868301
894	1.188339063
895	1.187845024
896	1.187407027
897	1.186961525
898	1.186107684
899	1.185728193
900	1.184844501
901	1.184346393
902	1.183774259
903	1.1830469
904	1.182503335
905	1.182163966
906	1.181299753
907	1.180285458
908	1.179646048
909	1.179004585
910	1.178559071
911	1.178002611
912	1.177124009
913	1.176400292
914	1.175171017
915	1.1748969
916	1.174065852
917	1.173615586
918	1.172808773
919	1.17201486
920	1.17141318
921	1.170741623
922	1.169776292
923	1.168184202
924	1.167455241
925	1.167127375
926	1.166287323
927	1.165663519
928	1.164823812
929	1.1638496
930	1.163049853
931	1.162226487
932	1.161498937
933	1.160700409
934	1.159501681
935	1.159019315
936	1.157990235
937	1.157144878
938	1.156260344
939	1.155581818
940	1.155247264
941	1.154843802
942	1.154171661
943	1.153641331
944	1.15301132
945	1.151901903
946	1.1512944
947	1.150793924
948	1.150325728
949	1.149460517
950	1.14871417
951	1.148185296
952	1.147940334
953	1.146992768
954	1.146256228
955	1.145502602
956	1.14467231
957	1.144317924
958	1.143606656
959	1.142778971
960	1.141573194
961	1.140205821
962	1.139588473
963	1.139068245
964	1.137978884
965	1.137219044
966	1.136796805
967	1.136305734
968	1.13566192
969	1.135217608
970	1.134550317
971	1.134032958
972	1.1334009
973	1.132605417
974	1.131949225
975	1.131287242
976	1.130819825
977	1.129951139
978	1.129594455
979	1.128780872
980	1.127534603
981	1.12676603
982	1.126149993
983	1.124922045
984	1.124440093
985	1.124170554
986	1.122901236
987	1.12240641
988	1.121888026
989	1.121571762
990	1.120869604
991	1.120210078
992	1.11946061
993	1.118526994
994	1.117732917
995	1.11726748
996	1.116733267
997	1.116140112
998	1.115079733
999	1.11463251
